"namePlayer","idPlayer","Season","position","gamesPlayed","minutesPlayed","FG3A","FG3AG","tightProp","openProp","wideopenProp","tight.","open.","wideopen.","atbProp","cornerProp","atb.","corner.","comp_unadjust","multiplier","comp_adjusted","scaledfg","adjustment"
"Justin Anderson",1626147,"2018-19","W",48,464,77,1.604166667,0.025641026,0.256410256,0.717948718,0,0.25,0.339285714,0.736842105,0.263157895,0.321428571,0.3,-0.101622923226364,0.401657880459653,-0.0065850724866951,-0.398562013971911,-0.0608052752771489
"Kevin Huerter",1628989,"2018-19","G",75,2049,353,4.706666667,0.04519774,0.296610169,0.65819209,0.3125,0.361904762,0.399141631,0.777142857,0.222857143,0.371323529,0.435897436,0.0495525583245213,0.816228934655077,0.0269464798776642,1.49100409993559,0.0404462318906576
"Omari Spellman",1629016,"2018-19","F",46,805,128,2.782608696,0.0234375,0.234375,0.7421875,0.333333333,0.366666667,0.336842105,0.6328125,0.3671875,0.296296296,0.425531915,-0.0421162325130694,0.487651746855393,-0.00488403612400238,-0.0494030581411765,-0.0215781781571032
"Isaac Humphries",1629353,"2018-19","C",5,56,11,2.2,0,0.181818182,0.818181818,0,0,0.333333333,0.545454545,0.454545455,0.166666667,0.4,-0.191326424522497,0.299345855122721,-0.00513209518709061,-0.850414780341098,-0.134053652366237
"Jaylen Adams",1629121,"2018-19","G",34,428,74,2.176470588,0.027027027,0.22972973,0.743243243,0,0.176470588,0.4,0.808219178,0.191780822,0.389830508,0.142857143,-0.04344467940441,0.396731946532056,-0.00271286458467918,-0.419100776079602,-0.0262087871778373
"Trae Young",1629027,"2018-19","G",81,2503,482,5.950617284,0.069958848,0.325102881,0.604938272,0.176470588,0.291139241,0.357142857,0.962577963,0.037422037,0.321814255,0.388888889,-0.06347670914727,0.91483637908803,-0.0486009414654992,2.37417087056628,-0.00540590639455751
"Taurean Prince",1627752,"2018-19","F",55,1552,315,5.727272727,0.103448276,0.448275862,0.448275862,0.242424242,0.391608392,0.41958042,0.621794872,0.378205128,0.371134021,0.43220339,0.0691069149367596,0.77396668787894,0.0320396904728665,1.23084644657152,0.0534864500631355
"Dewayne Dedmon",203473,"2018-19","C",64,1609,217,3.390625,0.023041475,0.359447005,0.617511521,0.2,0.320512821,0.425373134,0.685185185,0.314814815,0.358108108,0.426470588,0.0393465362424653,0.63643253742753,0.0101429347274703,0.559913551053635,0.0250414158997764
"Vince Carter",1713,"2018-19","W",76,1330,316,4.157894737,0.09148265,0.416403785,0.492113565,0.275862069,0.363636364,0.429487179,0.826923077,0.173076923,0.375968992,0.462962963,0.0694950162837882,0.775162140077036,0.0323691518649974,1.23769270060741,0.0538699055472297
"Miles Plumlee",203101,"2018-19","C",18,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283793113298619,0,-0.925723574735962,0
